Fighter Name,Fighter URL
Zach Underwood_,http://www.fightmetric.com/fighter-details/1e310618d02ff93b
Drew Brokenshire_,http://www.fightmetric.com/fighter-details/aa571d75f80fde7d
Thiago Alves_Pitbull,http://www.fightmetric.com/fighter-details/31ee470ef5dc8d7f
Mike King_,http://www.fightmetric.com/fighter-details/564c2f5f9eb45d67
Kurt Osiander_,http://www.fightmetric.com/fighter-details/f84dfc5a8d178403
Nick Thompson_The Goat,http://www.fightmetric.com/fighter-details/7d3caf0f96f1b33d
Tarec Saffiedine_Sponge,http://www.fightmetric.com/fighter-details/0749d968e932df53
Mirsad Bektic_,http://www.fightmetric.com/fighter-details/cbd3e590a85b18c5
Peter Petties_The Joker,http://www.fightmetric.com/fighter-details/7ea5d60d2e6a8ad0
Ulka Sasaki_Ulka,http://www.fightmetric.com/fighter-details/7c3c48cf54a2848e
Sarah Kaufman_,http://www.fightmetric.com/fighter-details/36df8e119aec6175
Eric Bedard_Lucky Strikes,http://www.fightmetric.com/fighter-details/ce05955c26c3c090
Cesar Gracie_,http://www.fightmetric.com/fighter-details/079488710f012779
Roman Mitichyan_,http://www.fightmetric.com/fighter-details/2961be02cfb0d2c1
Ednaldo Oliveira_Lula,http://www.fightmetric.com/fighter-details/acd9513399a8b09b
Tsuyoshi Tamakairiki_,http://www.fightmetric.com/fighter-details/eaa0a728cc91ef60
Abdul-Kerim Edilov_,http://www.fightmetric.com/fighter-details/37e03538c960bac6
Victor Valenzuela_Joe Boxer,http://www.fightmetric.com/fighter-details/de277a4abcfeea46
Ray Routh_,http://www.fightmetric.com/fighter-details/cba3a2dfbc06ce79
Adriano Santos_,http://www.fightmetric.com/fighter-details/c6e6926a81adcd00
Trevin Giles_,http://www.fightmetric.com/fighter-details/b27a1fcb56a3035a
Gil Castillo_,http://www.fightmetric.com/fighter-details/31ceaf0e670c1578
Trey Houston_,http://www.fightmetric.com/fighter-details/c6668eeb261588d3
Luke Cummo_,http://www.fightmetric.com/fighter-details/93ce4ac89e3d7652
Michael Lerma_,http://www.fightmetric.com/fighter-details/f1fd8ec1023c89b3
Ovince Saint Preux_,http://www.fightmetric.com/fighter-details/50db8711c70196cd
Kamal Shalorus_Prince of Persia,http://www.fightmetric.com/fighter-details/ece280745f8727b8
Jordan Dowdy_,http://www.fightmetric.com/fighter-details/0d9312337fdce39a
Matt Arroyo_No Regard,http://www.fightmetric.com/fighter-details/de62052b2ede65ba
Eddie Alvarez_The Underground King,http://www.fightmetric.com/fighter-details/33a331684283900f
Tom Egan_,http://www.fightmetric.com/fighter-details/eae4aec1a5a8ff01
Buddy Roberts_,http://www.fightmetric.com/fighter-details/b2a2da86546ddb19
Sanae Kikuta_,http://www.fightmetric.com/fighter-details/e4bde462b043d3e1
Edson Barboza_Junior,http://www.fightmetric.com/fighter-details/64a50dad704d1d49
Mike Budnik_,http://www.fightmetric.com/fighter-details/b98209144b63ae26
Shannon Ritch_The Cannon,http://www.fightmetric.com/fighter-details/1c7cce2f5c17160d
Luc Bondole_,http://www.fightmetric.com/fighter-details/8691881b31c16b88
Forrest Petz_The Meat Cleaver,http://www.fightmetric.com/fighter-details/e86bc32f5997a8f7
Cyrillo Padilha_,http://www.fightmetric.com/fighter-details/856c4d2668a875f9
Anthony Do_,http://www.fightmetric.com/fighter-details/7c9aeba0c4d4bd78
Art Arciniega_King Arthur,http://www.fightmetric.com/fighter-details/d25e39e74efb0a77
Royce Alger_,http://www.fightmetric.com/fighter-details/669a3cb6e394f515
Tiffany Masters_Rainbow Renegade,http://www.fightmetric.com/fighter-details/ca743f96dd2063d5
Keith Rockel_Rock,http://www.fightmetric.com/fighter-details/c75b99887c8c3f5a
Joey Gilbert_,http://www.fightmetric.com/fighter-details/6bb1d2b714d4b3bc
Augusto Sakai_,http://www.fightmetric.com/fighter-details/441eacbe20e0e80b
Anthony Christodoulou_,http://www.fightmetric.com/fighter-details/4f11e9ce318ffbcb
Paddy Holohan_The Hooligan,http://www.fightmetric.com/fighter-details/6e7c758f5cdec01a
Lee Murray_Lightning,http://www.fightmetric.com/fighter-details/32016899d0a222a3
Sherron Leggett_Rob Roy,http://www.fightmetric.com/fighter-details/4f670b7972fa0a2e
Saad Awad_Assassin,http://www.fightmetric.com/fighter-details/da603332ad41f165
Scott Smith_Hands of Steel,http://www.fightmetric.com/fighter-details/3410cf010558dc8b
Satoshi Honma_,http://www.fightmetric.com/fighter-details/d2b1c1317a39f6c6
Jay Silva_,http://www.fightmetric.com/fighter-details/53bb0d40905b87c0
Aaron Simpson_A-Train,http://www.fightmetric.com/fighter-details/d5f820c11a121050
Julianna Pena_The Venezuelan Vixen,http://www.fightmetric.com/fighter-details/3253b16d38ae087d
Jacob Volkmann_Christmas,http://www.fightmetric.com/fighter-details/6f81b6de2557739a
Daniel Gallemore_Big Kansas,http://www.fightmetric.com/fighter-details/96706c75a2b14164
Cody McKenzie_,http://www.fightmetric.com/fighter-details/7be63795363029e8
Derrick Noble_The Eraser,http://www.fightmetric.com/fighter-details/21321cdfba797c52
Jon Manley_,http://www.fightmetric.com/fighter-details/a0602dd050bebefc
Scott Junk_,http://www.fightmetric.com/fighter-details/ac70a4f1db1b8c40
Eric Castile_,http://www.fightmetric.com/fighter-details/a0a69dc9914ef6e1
Andrews Nakahara_,http://www.fightmetric.com/fighter-details/7a9ca95a92d7b64c
Chris Gruetzemacher_Gritz,http://www.fightmetric.com/fighter-details/feaf00f3373435d6
Junior Barata_,http://www.fightmetric.com/fighter-details/06dced58ca24a6bd
Dan Christison_The Sandman,http://www.fightmetric.com/fighter-details/b369533a577fa97c
Willie Gates_Whoop Ass,http://www.fightmetric.com/fighter-details/6ded9184b2284645
Joe Wilk_The Nose,http://www.fightmetric.com/fighter-details/781014fb7e8e647a
Waylon Kennell_,http://www.fightmetric.com/fighter-details/9b8a73b59be8d786
Clay Guida_The Carpenter,http://www.fightmetric.com/fighter-details/c47df9303d318c67
Dooho Choi_The Korean Superboy,http://www.fightmetric.com/fighter-details/e93b04e308913c2e
Jesse Fujarczyk_The Ronin,http://www.fightmetric.com/fighter-details/c3c38c86f5ab9b5c
Justin Governale_The Therapist,http://www.fightmetric.com/fighter-details/ae954fd497025462
Masakatsu Funaki_,http://www.fightmetric.com/fighter-details/aa3153a9941b4d44
Abram Torres_,http://www.fightmetric.com/fighter-details/e175a261a280f7cb
Alan Hiro_Yamaniha,http://www.fightmetric.com/fighter-details/483b3170b3c05cf0
Dwayne Cason_,http://www.fightmetric.com/fighter-details/31c01fbc2586a5eb
Dennis Siver_,http://www.fightmetric.com/fighter-details/5f87a5c00b3d17ed
Genki Sudo_Neo-Samurai,http://www.fightmetric.com/fighter-details/99dd0147dc4ef80c
Jonathan Santa Maria_,http://www.fightmetric.com/fighter-details/3143e5daff9e5b71
Ryan Diaz_,http://www.fightmetric.com/fighter-details/ceee5dd37253199a
Rick Story_The Horror,http://www.fightmetric.com/fighter-details/5b5307450405abf0
Bobby Southworth_,http://www.fightmetric.com/fighter-details/aee8eecfc4bfb1e7
Antonio Mendes_Samurai,http://www.fightmetric.com/fighter-details/3795fca327cbcf23
Dan Ige_Danimal,http://www.fightmetric.com/fighter-details/82a5152216251682
Bryan Caraway_Kid Lightning,http://www.fightmetric.com/fighter-details/5ef0088c1b19beeb
Alexander Sarnavskiy_Tiger,http://www.fightmetric.com/fighter-details/2097b1a5ff47dfb0
Rob Yundt_Monster,http://www.fightmetric.com/fighter-details/42078a86d3dd037b
Joshua Sampo_The Gremlin,http://www.fightmetric.com/fighter-details/f65dcb22dada2223
Jameel Massouh_,http://www.fightmetric.com/fighter-details/883922e5cd6d8473
Jason Freeman_,http://www.fightmetric.com/fighter-details/5870bd1eadf4f322
Branko Cikatic_,http://www.fightmetric.com/fighter-details/4e5bbc4566049cbf
Luis Gomez_Tiger Junior,http://www.fightmetric.com/fighter-details/513e84bfe65ff509
Kazuyuki Fujita_Ironhead,http://www.fightmetric.com/fighter-details/b1605ea39fba6af6
Martin Bravo_El Toro,http://www.fightmetric.com/fighter-details/9c44f290f5726d95
Rafael Freitas_Capoeira,http://www.fightmetric.com/fighter-details/14b9e0f2679a2205
Marcus Kowal_,http://www.fightmetric.com/fighter-details/ad0e42800a0d8977
Zubaira Tukhugov_Warrior,http://www.fightmetric.com/fighter-details/aceffa19749c4dc0
Jeremie Holloway_Hit Em,http://www.fightmetric.com/fighter-details/ee28aa7f1043756c
BJ Penn_The Prodigy,http://www.fightmetric.com/fighter-details/73c7cfa551289285
Mike Santiago_Little Bully,http://www.fightmetric.com/fighter-details/bc656db347f31e19
Eddy Ellis_Fast,http://www.fightmetric.com/fighter-details/e60d773a0a42048a
Sammy Morgan_The Squeeze,http://www.fightmetric.com/fighter-details/2067a177a2842fbf
Tai Bowden_,http://www.fightmetric.com/fighter-details/2efbc83a6b9b7f86
Josh Ferguson_Taz,http://www.fightmetric.com/fighter-details/b0f316c60f8d3b47
Song Yadong_The Terminator,http://www.fightmetric.com/fighter-details/efb96bf3e9ada36f
Bas Rutten_El Guapo,http://www.fightmetric.com/fighter-details/03688dc3c3af3ac1
Steve Vigneault_Lionheart,http://www.fightmetric.com/fighter-details/6888e31ce88f5b17
Anthony Lapsley_The Recipe,http://www.fightmetric.com/fighter-details/f3a853544e4413c4
Jarjis Danho_Man Mountain,http://www.fightmetric.com/fighter-details/8614b7134913f5d5
Magomed Mustafaev_,http://www.fightmetric.com/fighter-details/31d7446b184e3305
Lloyd Van Dams_,http://www.fightmetric.com/fighter-details/02177caefe7c07d4
James Hammortree_The Sledge,http://www.fightmetric.com/fighter-details/1f77fce698e80488
Derek Brunson_,http://www.fightmetric.com/fighter-details/b1a3e0aca758b322
Billy Miles_The Kid,http://www.fightmetric.com/fighter-details/3c48019bc387b80c
Evan Dunham_,http://www.fightmetric.com/fighter-details/e5c9de15bb58b1c6
Brandon Melendez_The Murderer,http://www.fightmetric.com/fighter-details/2b06b6ad5db63348
Juan Puig_Fenix,http://www.fightmetric.com/fighter-details/85d0fafb8b75d634
Bevon Lewis_,http://www.fightmetric.com/fighter-details/899923ff6ab13917
Krishaun Gilmore_,http://www.fightmetric.com/fighter-details/10ccdcd14c3dfcf1
Issac DeJesus_,http://www.fightmetric.com/fighter-details/0e2c2daf11b5d8f2
Merab Dvalishvili_,http://www.fightmetric.com/fighter-details/c03520b5c88ed6b4
Ian Butler_,http://www.fightmetric.com/fighter-details/6b8fd98eb52363d1
Steven Siler_Super,http://www.fightmetric.com/fighter-details/d188a3b817860ec6
Mike Ciesnolevicz_,http://www.fightmetric.com/fighter-details/51b0bb73a1da34bc
Dennis Reed_,http://www.fightmetric.com/fighter-details/4a35913bd9aa4161
Hitomi Akano_Girlfight Monster,http://www.fightmetric.com/fighter-details/2eada40ac8801559
Dae Won Kim_,http://www.fightmetric.com/fighter-details/354808cf38d9d73c
Cheyden Leialoha_Steadfast,http://www.fightmetric.com/fighter-details/98cbbc06074c68a4
Jason Brilz_Hitman,http://www.fightmetric.com/fighter-details/497ba5b12a4bfc47
Vinicius Magalhaes_Draculinho,http://www.fightmetric.com/fighter-details/1b583c64c23f0c7f
Guilherme Vasconcelos_Bomba,http://www.fightmetric.com/fighter-details/d6d5da3c209884bc
Tomoya Miyashita_,http://www.fightmetric.com/fighter-details/c9885b1b7c7055a0
Renato Moicano_Moicano,http://www.fightmetric.com/fighter-details/b6452706b373eea1
Antonio Silva_Bigfoot,http://www.fightmetric.com/fighter-details/8349d55cdecd393a
Renzo Gracie_,http://www.fightmetric.com/fighter-details/aae0897825336b1a
Daniel Omielanczuk_,http://www.fightmetric.com/fighter-details/470fedbc8563ac47
Drew Dober_,http://www.fightmetric.com/fighter-details/519e4fe37ce9ff75
Justin Jones_Lazybones,http://www.fightmetric.com/fighter-details/9b75954db8db2a08
Kevin Rosier_,http://www.fightmetric.com/fighter-details/598a58db87b890ee
Rodrigo Damm_,http://www.fightmetric.com/fighter-details/a20d7dfaba74c067
Len Bentley_,http://www.fightmetric.com/fighter-details/592d23aed850e652
Magomed Bibulatov_Chaborz,http://www.fightmetric.com/fighter-details/87f19d19f4cb73f8
Nobuhiro Obiya_,http://www.fightmetric.com/fighter-details/6e3282d57d2467a0
Stephan Bonnar_The American Psycho,http://www.fightmetric.com/fighter-details/c6a33ff198aaaeeb
Chris Barnhizer_,http://www.fightmetric.com/fighter-details/91e69a1c3c87325b
Tom DeBlass_,http://www.fightmetric.com/fighter-details/0bcfe2513cb3bc39
Donnie Chappell_,http://www.fightmetric.com/fighter-details/8788beb528894f33
Roland Delorme_,http://www.fightmetric.com/fighter-details/173acb3f920082b8
Ildemar Alcantara_Marajo,http://www.fightmetric.com/fighter-details/7c6e87729e824ef4
Brian Johnston_,http://www.fightmetric.com/fighter-details/1c3f5e85b59ec710
Brian Kelleher_Boom,http://www.fightmetric.com/fighter-details/7be14eaed4c74856
