NAME_NICKNAME,RECORD,HEIGHT,WEIGHT,REACH,STANCE,DOB,SLpM,Str_Acc,SApM,Str_Def,TD_Avg,TD_Acc,TD_Def,Sub_Avg,URL
Tommy Speer_,19-5-0,"5' 10""",170 lbs.,"71""",Orthodox,20-Aug-84,2.56,51%,5.12,35%,2.02,33%,33%,0,http://www.fightmetric.com/fighter-details/1411c630ba711b64
Tatsuya Mizuno_,10/7/2001,"6' 1""",205 lbs.,--,Southpaw,2-Jun-81,2.25,37%,3.52,53%,1.19,25%,40%,3.6,http://www.fightmetric.com/fighter-details/478c8706bdb92440
Sean Gannon_The Cannon,2/1/2000,"6' 3""",265 lbs.,--,Southpaw,--,0,0%,6.38,28%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/6d7886b094b471ac
Keith Jardine_The Dean of Mean,17-10-2,"6' 2""",185 lbs.,"76""",Orthodox,31-Oct-75,3.25,36%,2.98,59%,1.18,45%,62%,0.7,http://www.fightmetric.com/fighter-details/b9d0fd83bb8a147a
James Mulheron_The Juggernaut,11/2/2000,"5' 10""",243 lbs.,"73""",Orthodox,20-Feb-88,2.4,31%,3.47,42%,0,0%,25%,0,http://www.fightmetric.com/fighter-details/8d5350fa18b79e9a
Dave Beneteau_Dangerous,6/5/2001,"6' 2""",250 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/9fd1f08dd4aec14a
Rico Altamirano_,3/2/2000,"5' 10""",170 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/c61b49cec6abd6b9
Josh Diekmann_The Freight Train,15-8-0 (1 NC),"5' 4""",246 lbs.,--,,9-Oct-76,0.94,8%,4.69,54%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/414bddf0c80c41e1
Jean Silva_White Bear,18-11-3 (1 NC),"5' 6""",160 lbs.,--,Orthodox,8-Oct-77,0.73,22%,2.93,52%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/9211aae062b799d6
Wagner Prado_Caldeirao,8-2-0 (1 NC),"6' 0""",205 lbs.,"74""",Southpaw,30-Dec-86,1.72,40%,3.06,50%,0,0%,22%,0,http://www.fightmetric.com/fighter-details/7f6ef4e1227600bc
Dave Martin_,0-2-0,"6' 0""",205 lbs.,--,,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/92c96df8bdab5fea
Xavier Siller_Young Guns,5/5/2000,"5' 5""",125 lbs.,--,,6-Jun-94,1.02,36%,1.53,57%,3.83,100%,0%,0,http://www.fightmetric.com/fighter-details/9a08c2753184ac6d
Yurij Kiseliov_Playboy,5/3/2000,"5' 8""",185 lbs.,--,Orthodox,--,4.88,87%,0,0%,0,0%,50%,0,http://www.fightmetric.com/fighter-details/51d2aaaca56e5b40
Neil Magny_,20-7-0,"6' 3""",170 lbs.,"80""",Orthodox,3-Aug-87,3.84,48%,2.05,56%,2.89,48%,59%,0.3,http://www.fightmetric.com/fighter-details/84b3e7d38f2d2ec5
Vitor Ribeiro_Shaolin,20-5-0,"5' 8""",154 lbs.,--,Orthodox,24-Feb-79,1,28%,1.95,48%,1.58,26%,100%,1.2,http://www.fightmetric.com/fighter-details/a757c06bbdba61d2
Glover Teixeira_,27-6-0,"6' 2""",205 lbs.,"76""",Orthodox,28-Oct-79,3.73,43%,3.61,57%,2.39,51%,59%,0.8,http://www.fightmetric.com/fighter-details/7ff97850e8c32bda
Gian Villante_,15-9-0,"6' 3""",205 lbs.,"76""",Orthodox,18-Aug-85,4.15,45%,5.49,56%,0.69,24%,82%,0,http://www.fightmetric.com/fighter-details/fcd448a2fe1a23cc
Crafton Wallace_Blaze,18-6-1,"6' 0""",185 lbs.,--,Orthodox,10-Nov-75,1.55,44%,2.36,47%,0,0%,42%,0,http://www.fightmetric.com/fighter-details/bf41b5131545da12
Paul Buentello_The Headhunter,29-14-0,"6' 2""",245 lbs.,"77""",Orthodox,16-Jan-74,3.29,45%,3.83,52%,0.19,33%,39%,0.4,http://www.fightmetric.com/fighter-details/f0abbb6f3444dae7
Rob McCullough_Razor,19-8-0,"5' 9""",155 lbs.,"69""",Orthodox,26-May-77,2.47,36%,2.84,59%,0.46,100%,68%,0,http://www.fightmetric.com/fighter-details/11e3fd7546359fc5
Hans Stringer_,22-7-3,"6' 3""",205 lbs.,"73""",Orthodox,6-Jul-87,3.16,61%,2.84,41%,2.4,36%,62%,0,http://www.fightmetric.com/fighter-details/523f6ad11dbe9b53
Bob Sapp_The Beast,11/8/2000,"6' 5""",350 lbs.,--,Orthodox,22-Sep-74,3.19,55%,1.88,49%,0.58,100%,72%,0,http://www.fightmetric.com/fighter-details/9f3d6ddef3d3cccc
Per Eklund_,14-5-1,"5' 10""",155 lbs.,"72""",Orthodox,--,2.07,61%,2.38,67%,2.07,11%,50%,3.6,http://www.fightmetric.com/fighter-details/58bc81376286b3d3
Antonio Dos Santos_Junior Alpha,6/3/2000,"5' 10""",185 lbs.,"72""",Orthodox,21-Jul-88,5.4,51%,3.94,43%,0,0%,100%,0,http://www.fightmetric.com/fighter-details/81b8b3fb019dc69d
Townsend Saunders_,0-2-0,"5' 5""",170 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/20bd6c3e03c46ee6
David Velasquez_Little,10/9/2000,"5' 5""",145 lbs.,--,Orthodox,--,0,0%,0,0%,0,0%,0%,0,http://www.fightmetric.com/fighter-details/09c44b317c98bf96
Barb Honchak_Little Warrior,10/4/2000,"5' 4""",125 lbs.,"65""",,30-Aug-79,4.73,30%,3.93,70%,0,0%,0%,2,http://www.fightmetric.com/fighter-details/472f6f6e6d962f40
Edgar Garcia_,14-5-0,"5' 10""",170 lbs.,"71""",Orthodox,22-Feb-84,3.16,29%,4.23,60%,2.21,57%,50%,0.6,http://www.fightmetric.com/fighter-details/8d49545dadf9b919
Igor Vovchanchyn_Ice Cold,55-10-1 (1 NC),"5' 8""",205 lbs.,--,Orthodox,6-Aug-73,1.59,49%,0.97,63%,1.19,66%,50%,0.5,http://www.fightmetric.com/fighter-details/7929be8290289a47
David Teymur_,7/1/2000,"5' 9""",155 lbs.,"73""",,1-May-89,4.81,45%,3.17,55%,1.4,33%,75%,0,http://www.fightmetric.com/fighter-details/2747c60e42d9d75f
Maiquel Falcao_Big Rig,28-4-0 (1 NC),"5' 11""",185 lbs.,--,Orthodox,8-Mar-81,1.67,55%,0.53,86%,1,100%,71%,3,http://www.fightmetric.com/fighter-details/d58478ded5534695
TJ Dillashaw_,16-3-0,"5' 6""",135 lbs.,"67""",Orthodox,7-Feb-86,5.26,40%,2.91,66%,1.73,37%,85%,1,http://www.fightmetric.com/fighter-details/c849740a3ff51931
Frankie Edgar_The Answer,21-5-1,"5' 6""",145 lbs.,"68""",Orthodox,16-Oct-81,3.55,40%,2.15,70%,2.59,35%,65%,0.4,http://www.fightmetric.com/fighter-details/f2688492b9a525a3
