Date,Adj Close,Open,High,Low,Range,Volume,Unemp Claims,Ret Sales,Ind Prod,NFP,Direction
8/23/2010,1064.589966,1073.359985,1081.579956,1039.699951,41.880005,19756640000,464000,317103,95.3385,130423,U
8/30/2010,1104.51001,1062.900024,1105.099976,1040.880005,64.219971,18592350000,467000,317103,95.3385,130423,U
9/6/2010,1109.550049,1102.599976,1110.880005,1091.150024,19.729981,12780950000,452000,319901,95.6063,130371,U
9/13/2010,1125.589966,1113.380005,1131.469971,1113.380005,18.089966,19862160000,444000,319901,95.6063,130371,U
9/20/2010,1148.670044,1126.569946,1148.900024,1122.790039,26.109985,19422610000,459000,319901,95.6063,130371,D
9/27/2010,1146.23999,1148.640015,1157.160034,1132.089966,25.070068,20187050000,459000,319901,95.6063,130371,U
10/4/2010,1165.150024,1144.959961,1167.72998,1131.869995,35.859985,19528080000,446000,324218,95.3785,130633,U
10/11/2010,1176.189941,1165.319946,1184.380005,1155.709961,28.670044,22245800000,459000,324218,95.3785,130633,U
10/18/2010,1183.079956,1176.829956,1189.430054,1159.709961,29.720093,22881410000,444000,324218,95.3785,130633,U
10/25/2010,1183.26001,1184.73999,1196.140015,1171.699951,24.440064,20582070000,432000,324218,95.3785,130633,U
11/1/2010,1225.849976,1185.709961,1227.079956,1177.650024,49.429932,23993790000,453000,327620,95.4163,130752,D
11/8/2010,1199.209961,1223.23999,1226.839966,1194.079956,32.76001,21491310000,434000,327620,95.4163,130752,U
11/15/2010,1199.72998,1200.439941,1207.430054,1173,34.430054,20887180000,432000,327620,95.4163,130752,D
11/22/2010,1189.400024,1198.069946,1198.939941,1176.910034,22.029907,12820640000,407000,327620,95.4163,130752,U
11/29/2010,1224.709961,1189.079956,1225.569946,1173.640015,51.929931,21212840000,432000,327620,95.4163,130752,U
12/6/2010,1240.400024,1223.869995,1240.400024,1219.5,20.900024,24175410000,428000,329707,96.2444,130839,U
12/13/2010,1243.910034,1242.52002,1246.72998,1232.849976,13.880004,22270220000,425000,329707,96.2444,130839,U
12/20/2010,1256.77002,1245.76001,1259.390015,1241.51001,17.880005,10828420000,424000,329707,96.2444,130839,U
12/27/2010,1257.640015,1254.660034,1262.599976,1251.47998,11.119996,10455790000,404000,329707,96.2444,130839,U
1/3/2011,1271.5,1257.619995,1278.170044,1257.619995,20.550049,23655220000,413000,332559,96.1454,130882,U
1/10/2011,1293.23999,1270.839966,1293.23999,1262.180054,31.059936,21286570000,434000,332559,96.1454,130882,D
1/17/2011,1283.349976,1293.219971,1296.060059,1271.26001,24.800049,19899340000,421000,332559,96.1454,130882,D
1/24/2011,1276.339966,1283.290039,1302.670044,1275.099976,27.570068,23156650000,446000,332559,96.1454,130882,U
1/31/2011,1310.869995,1276.5,1311,1276.5,34.5,21726860000,420000,332559,96.1454,130882,U
2/7/2011,1329.150024,1311.849976,1330.790039,1311.73999,19.050049,20109950000,402000,334544,95.7235,131071,U
2/14/2011,1343.01001,1328.72998,1344.069946,1324.609985,19.459961,12589110000,425000,334544,95.7235,131071,D
2/21/2011,1319.880005,1338.910034,1338.910034,1294.26001,44.650024,7712050000,394000,334544,95.7235,131071,U
2/28/2011,1321.150024,1321.609985,1332.280029,1302.579956,29.700073,12022480000,385000,334544,95.7235,131071,D
3/7/2011,1304.280029,1322.719971,1327.680054,1291.98999,35.690064,20669090000,414000,337858,96.6445,131296,D
3/14/2011,1279.209961,1301.189941,1301.189941,1249.050049,52.139892,23905220000,404000,337858,96.6445,131296,U
3/21/2011,1313.800049,1281.650024,1319.180054,1281.650024,37.53003,20090110000,407000,337858,96.6445,131296,U
3/28/2011,1332.410034,1315.449951,1337.849976,1305.26001,32.589966,18297330000,399000,337858,96.6445,131296,D
4/4/2011,1328.170044,1333.560059,1339.459961,1322.939941,16.52002,19888170000,395000,340212,96.2727,131642,D
4/11/2011,1319.680054,1329.01001,1333.77002,1302.420044,31.349976,19701690000,416000,340212,96.2727,131642,U
4/18/2011,1337.380005,1313.349976,1337.48999,1294.699951,42.790039,15933560000,402000,340212,96.2727,131642,U
4/25/2011,1363.609985,1337.140015,1364.560059,1331.469971,33.090088,17617650000,422000,340212,96.2727,131642,D
5/2/2011,1340.199951,1365.209961,1370.579956,1329.170044,41.409912,20363720000,468000,339352,96.4871,131719,D
5/9/2011,1337.77002,1340.199951,1359.439941,1332.030029,27.409912,19539110000,435000,339352,96.4871,131719,D
5/16/2011,1333.27002,1334.77002,1346.819946,1318.51001,28.309936,19514380000,414000,339352,96.4871,131719,D
5/23/2011,1331.099976,1333.069946,1334.619995,1311.800049,22.819946,17595530000,423000,339352,96.4871,131719,D
5/30/2011,1300.160034,1331.099976,1345.199951,1297.900024,47.299927,16204530000,418000,339352,96.4871,131719,D
6/6/2011,1270.97998,1300.26001,1300.26001,1268.280029,31.979981,18551800000,423000,341532,96.715,131944,U
6/13/2011,1271.5,1271.310059,1292.5,1258.069946,34.430054,20466010000,413000,341532,96.715,131944,D
6/20/2011,1268.449951,1271.5,1298.609985,1262.869995,35.73999,19888020000,416000,341532,96.715,131944,U
6/27/2011,1339.670044,1268.439941,1341.01001,1267.530029,73.479981,19505540000,421000,341532,96.715,131944,U
7/4/2011,1343.800049,1339.589966,1356.47998,1330.920044,25.559936,14950400000,418000,341414,97.1317,132013,D
7/11/2011,1316.140015,1343.310059,1343.310059,1306.51001,36.800049,20768430000,408000,341414,97.1317,132013,U
7/18/2011,1345.02002,1315.939941,1347,1295.920044,51.079956,20550440000,420000,341414,97.1317,132013,D
7/25/2011,1292.280029,1344.319946,1344.319946,1282.859985,61.459961,21035970000,411000,341414,97.1317,132013,D
8/1/2011,1199.380005,1292.589966,1307.380005,1168.089966,139.290039,26341740000,406000,342104,97.7027,132123,D
8/8/2011,1178.810059,1198.47998,1198.47998,1101.540039,96.939941,19325310000,405000,342104,97.7027,132123,D
8/15/2011,1123.530029,1178.859985,1208.469971,1122.050049,86.419922,22135160000,409000,342104,97.7027,132123,U
8/22/2011,1176.800049,1123.550049,1190.680054,1121.089966,69.590088,26548480000,415000,342104,97.7027,132123,D
8/29/2011,1173.969971,1177.910034,1230.709961,1170.560059,60.149902,23250630000,409000,342104,97.7027,132123,D
9/5/2011,1154.22998,1173.969971,1204.400024,1140.130005,64.270019,18596560000,414000,345346,97.6288,132371,U
9/12/2011,1216.01001,1153.5,1220.060059,1136.069946,83.990113,24565280000,429000,345346,97.6288,132371,D
9/19/2011,1136.430054,1214.98999,1220.390015,1114.219971,106.170044,25641420000,422000,345346,97.6288,132371,D
9/26/2011,1131.420044,1136.910034,1195.859985,1131.069946,64.790039,24801410000,406000,345346,97.6288,132371,U
10/3/2011,1155.459961,1131.209961,1171.400024,1074.77002,96.630004,22574340000,405000,348095,98.3224,132580,U
10/10/2011,1224.579956,1158.150024,1224.609985,1158.150024,66.459961,22779620000,410000,348095,98.3224,132580,U
10/17/2011,1238.25,1224.469971,1239.030029,1191.47998,47.550049,23838320000,395000,348095,98.3224,132580,U
10/24/2011,1285.089966,1238.719971,1292.660034,1221.060059,71.599975,24561180000,403000,348095,98.3224,132580,D
10/31/2011,1253.22998,1284.959961,1284.959961,1215.420044,69.539917,22746070000,399000,348095,98.3224,132580,U
11/7/2011,1263.849976,1253.209961,1277.550049,1226.640015,50.910034,19370910000,392000,349379,98.1979,132721,D
11/14/2011,1215.650024,1263.849976,1264.25,1209.430054,54.819946,19328050000,383000,349379,98.1979,132721,D
11/21/2011,1158.670044,1215.619995,1215.619995,1158.660034,56.959961,13424920000,385000,349379,98.1979,132721,U
11/28/2011,1244.280029,1158.670044,1260.079956,1158.670044,101.409912,21678300000,397000,349379,98.1979,132721,U
12/5/2011,1255.189941,1244.329956,1267.060059,1231.469971,35.590088,20171810000,387000,349798,98.6923,132930,D
