Date,Open,High,Low,Close,Volume,Range,MA21,MA50,Engulf,Direction
1/2/2004,1111.920044,1118.849976,1105.079956,1108.47998,1153200000,13.77002,1083.130011,1062.945403,1,U
1/5/2004,1108.47998,1122.219971,1108.47998,1122.219971,1578200000,13.739991,1085.867629,1064.782603,0,U
1/6/2004,1122.219971,1124.459961,1118.439941,1123.670044,1494500000,6.02002,1088.43668,1066.580603,0,U
1/7/2004,1123.670044,1126.329956,1116.449951,1126.329956,1704900000,9.880005,1091.523821,1068.529001,1,U
1/8/2004,1126.329956,1131.920044,1124.910034,1131.920044,1868400000,7.01001,1094.505726,1070.544802,0,D
1/9/2004,1131.920044,1131.920044,1120.900024,1121.859985,1720700000,11.02002,1097.442865,1072.046201,1,U
1/12/2004,1121.859985,1127.849976,1120.900024,1127.22998,1510200000,6.949952,1100.689529,1073.628601,0,D
1/13/2004,1127.22998,1129.069946,1115.189941,1121.219971,1595900000,13.880005,1103.070958,1075.114202,1,U
1/14/2004,1121.219971,1130.75,1121.219971,1130.52002,1514600000,9.530029,1105.75572,1076.710403,0,U
1/15/2004,1130.52002,1137.109985,1124.540039,1132.050049,1695000000,12.569946,1108.803816,1078.171003,0,U
1/16/2004,1132.050049,1139.829956,1132.050049,1139.829956,1721100000,7.779907,1111.884766,1079.902603,0,D
1/20/2004,1139.829956,1142.930054,1135.400024,1138.77002,1698200000,7.53003,1114.850958,1081.641802,0,U
1/21/2004,1138.77002,1149.209961,1134.619995,1147.619995,1757600000,14.589966,1117.633812,1083.433201,1,D
1/22/2004,1147.619995,1150.51001,1143.01001,1143.939941,1693700000,7.5,1120.266189,1085.2478,0,D
1/23/2004,1143.939941,1150.310059,1136.849976,1141.550049,1561200000,13.460083,1122.580956,1087.136602,0,U
1/26/2004,1141.550049,1155.380005,1141,1155.369995,1480600000,14.380005,1125.407145,1089.312603,0,D
1/27/2004,1155.369995,1155.369995,1144.050049,1144.050049,1673100000,11.319946,1127.788574,1091.023003,0,D
1/28/2004,1144.050049,1149.140015,1126.5,1128.47998,1842000000,22.640015,1129.340477,1092.424402,0,U
1/29/2004,1128.47998,1134.390015,1122.380005,1134.109985,1921900000,12.01001,1130.513335,1094.099602,0,D
1/30/2004,1134.109985,1134.170044,1127.72998,1131.130005,1635000000,6.440064,1131.536668,1095.849602,0,U
2/2/2004,1131.130005,1142.449951,1127.869995,1135.26001,1599200000,14.579956,1132.648095,1097.871802,0,U
2/3/2004,1135.26001,1137.439941,1131.329956,1136.030029,1476900000,6.109985,1133.960002,1099.743604,0,D
2/4/2004,1136.030029,1136.030029,1124.73999,1126.52002,1634800000,11.290039,1134.164766,1101.601003,0,U
2/5/2004,1126.52002,1131.170044,1124.439941,1128.589966,1566600000,6.730103,1134.399048,1103.467202,0,U
2/6/2004,1128.589966,1142.790039,1128.390015,1142.76001,1477600000,14.400024,1135.181431,1105.280803,0,D
2/9/2004,1142.76001,1144.459961,1139.209961,1139.810059,1303500000,5.25,1135.557146,1106.999204,0,U
2/10/2004,1139.810059,1147.02002,1138.699951,1145.540039,1403900000,8.320069,1136.684768,1108.741006,1,U
2/11/2004,1145.540039,1158.890015,1142.329956,1157.76001,1699300000,16.560059,1138.138579,1110.732207,0,D
2/12/2004,1157.76001,1157.76001,1151.439941,1152.109985,1464300000,6.320069,1139.609532,1112.372007,0,D
2/13/2004,1152.109985,1156.880005,1143.23999,1145.810059,1329200000,13.640015,1140.337629,1113.955808,0,U
2/17/2004,1145.810059,1158.97998,1145.810059,1156.98999,1396500000,13.169921,1141.525245,1115.801008,0,D
2/18/2004,1156.98999,1157.400024,1149.540039,1151.819946,1382400000,7.859985,1142.096197,1117.443008,0,D
2/19/2004,1151.819946,1158.569946,1146.849976,1147.060059,1562800000,11.71997,1142.490961,1119.154209,1,D
2/20/2004,1147.060059,1149.810059,1139,1144.109985,1479600000,10.810059,1142.323818,1120.650408,0,D
2/23/2004,1144.109985,1146.689941,1136.97998,1140.98999,1380400000,9.709961,1142.183344,1122.266606,0,D
2/24/2004,1140.98999,1144.540039,1134.430054,1139.089966,1543600000,10.109985,1142.066197,1123.867405,0,U
2/25/2004,1139.089966,1145.23999,1138.959961,1143.670044,1360700000,6.280029,1141.509056,1125.316606,0,U
2/26/2004,1143.670044,1147.22998,1138.619995,1144.910034,1383900000,8.609985,1141.550008,1126.732007,1,U
2/27/2004,1145.800049,1151.680054,1141.800049,1144.939941,1540400000,9.880005,1142.333816,1128.270005,0,U
3/1/2004,1144.939941,1157.449951,1144.939941,1155.969971,1497100000,12.51001,1143.374768,1129.886804,0,D
3/2/2004,1155.969971,1156.540039,1147.310059,1149.099976,1476000000,9.22998,1144.23048,1131.339204,0,U
3/3/2004,1149.099976,1152.439941,1143.780029,1151.030029,1334500000,8.659912,1144.981434,1132.576204,0,U
3/4/2004,1151.030029,1154.969971,1149.810059,1154.869995,1265800000,5.159912,1145.878575,1133.900403,0,U
3/5/2004,1154.869995,1163.22998,1148.77002,1156.859985,1398200000,14.45996,1147.323335,1135.178804,1,D
3/8/2004,1156.859985,1159.939941,1146.969971,1147.199951,1254400000,12.96997,1148.209525,1136.202402,0,D
3/9/2004,1147.199951,1147.319946,1136.839966,1140.579956,1499400000,10.47998,1148.105713,1137.133201,0,D
3/10/2004,1140.579956,1141.449951,1122.530029,1123.890015,1648400000,18.919922,1147.347616,1137.693201,0,D
3/11/2004,1123.890015,1125.959961,1105.869995,1106.780029,1889900000,20.089966,1145.501901,1137.639202,0,U
